GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Text,org.apache.commons.text.translate,NumericEntityUnescaper.OPTION,5,43,0,0,0,1,1,3,1,3
Apache Commons Text,org.apache.commons.text.translate,CsvTranslators.CsvEscaper,0,27,0,2,0,8,0,3,0,2
Apache Commons Text,org.apache.commons.text.translate,NumericEntityEscaper,0,64,0,2,0,16,0,8,0,7
Apache Commons Text,org.apache.commons.text.translate,AggregateTranslator,0,57,0,10,0,13,0,7,0,2
Apache Commons Text,org.apache.commons.text.translate,JavaUnicodeEscaper,0,50,0,0,0,8,0,6,0,6
Apache Commons Text,org.apache.commons.text.translate,CsvTranslators,3,32,0,0,1,3,1,1,1,1
Apache Commons Text,org.apache.commons.text.translate,CharSequenceTranslator,28,165,2,16,6,29,3,12,1,5
Apache Commons Text,org.apache.commons.text.translate,NumericEntityUnescaper,0,207,1,49,0,41,1,27,0,3
Apache Commons Text,org.apache.commons.text.translate,UnicodeEscaper,0,121,0,12,0,25,0,14,0,8
Apache Commons Text,org.apache.commons.text.translate,CsvTranslators.CsvUnescaper,0,46,0,6,0,9,0,5,0,2
Apache Commons Text,org.apache.commons.text.translate,OctalUnescaper,1,115,4,20,0,17,4,12,0,4
Apache Commons Text,org.apache.commons.text.translate,EntityArrays,0,1374,0,2,0,280,0,4,0,3
Apache Commons Text,org.apache.commons.text.translate,UnicodeUnescaper,0,119,2,14,0,18,2,8,0,2
Apache Commons Text,org.apache.commons.text.translate,UnicodeUnpairedSurrogateRemover,0,13,0,4,0,4,0,4,0,2
Apache Commons Text,org.apache.commons.text.translate,SinglePassTranslator,2,38,1,3,0,7,1,4,0,3
Apache Commons Text,org.apache.commons.text.translate,LookupTranslator,0,133,0,16,0,30,0,10,0,2
Apache Commons Text,org.apache.commons.text.translate,CodePointTranslator,0,18,0,2,0,4,0,3,0,2
